figure,position,video_id,type,title,subtitle,overview_label,source_figure,source_position,source_frame,frame_path
abb_oberkategorie_emotion_praesenz.png,1,7565209380782755075,VI,Gesichtsemotion | VI | id=755075,Modell: emotion=Happy; p=0.49; face_frames=8,Gesichtsemotion,abb_kategorie_face_emotion_v02.png,1,exports/examples/frames/abb_kategorie_face_emotion_v02_01_VI_7565209380782755075.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_01_VI_7565209380782755075.jpeg
abb_oberkategorie_emotion_praesenz.png,2,7491097821064482070,RI,Gesichtsausrichtung | RI | id=482070,Modell: orientation=Frontal; pitch=10.45; yaw=-0.66,Gesichtsausrichtung,abb_kategorie_face_orientation_v03.png,1,exports/examples/frames/abb_kategorie_face_orientation_v03_01_RI_7491097821064482070.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_02_RI_7491097821064482070.jpeg
abb_oberkategorie_emotion_praesenz.png,3,7517473852260240654,RI,Körperpose | RI | id=240654,Modell: pose=sitting; p=0.86; pose_frames=92,Körperpose,abb_kategorie_body_pose_v03.png,1,exports/examples/frames/abb_kategorie_body_pose_v03_01_RI_7517473852260240654.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_03_RI_7517473852260240654.jpeg
abb_oberkategorie_emotion_praesenz.png,4,7573527601692626189,RI,Personenanzahl | RI | id=626189,Modell: persons=3.21; max=7; frames=24,Personenanzahl,abb_kategorie_personen_anzahl_v05.png,3,exports/examples/frames/abb_kategorie_personen_anzahl_v05_03_RI_7573527601692626189.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_04_RI_7573527601692626189.jpeg
abb_oberkategorie_emotion_praesenz.png,5,7538416839257230614,VI,Gesichtsemotion | VI | id=230614,Modell: emotion=Surprise; p=0.51; face_frames=19,Gesichtsemotion,abb_kategorie_face_emotion_v03.png,2,exports/examples/frames/abb_kategorie_face_emotion_v03_02_VI_7538416839257230614.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_05_VI_7538416839257230614.jpeg
abb_oberkategorie_emotion_praesenz.png,6,7174800420806708522,RI,Gesichtsausrichtung | RI | id=708522,Modell: orientation=Frontal; pitch=6.43; yaw=-1.23,Gesichtsausrichtung,abb_kategorie_face_orientation_v05.png,1,exports/examples/frames/abb_kategorie_face_orientation_v05_01_RI_7174800420806708522.jpeg,exports/examples/frames/abb_oberkategorie_emotion_praesenz_06_RI_7174800420806708522.jpeg
